"","pwa_name","pwa_start_time","pwa_end_time","pwa_load_time","type","experiment"
"162","https://www.nrw-tourismus.de",1571183605.62,1571183606.046,0.426000118255615,"cache",9
"164","https://www.petlove.com.br",1571183752.689,1571183753.042,0.353000164031982,"cache",10
"166","https://m.alibaba.com/",1571183830.655,1571183831.202,0.546999931335449,"cache",10
"168","https://nylon.com",1571183911.938,1571183912.395,0.457000017166138,"cache",10
"170","https://www.zumata.com",1571183987.574,1571183988.135,0.561000108718872,"cache",10
"172","https://slate.com",1571184061.73,1571184062.55,0.819999933242798,"cache",10
"174","https://www.smashingmagazine.com",1571184135.574,1571184135.975,0.401000022888184,"cache",10
"176","https://edgy.app",1571184204.741,1571184204.889,0.148000001907349,"cache",10
"178","https://www.soundslice.com",1571184273.338,1571184273.437,0.0989999771118164,"cache",10
"180","https://www.nrw-tourismus.de",1571184342.386,1571184342.785,0.39900016784668,"cache",10
"182","https://www.petlove.com.br",1571184490.585,1571184490.846,0.260999917984009,"cache",11
"184","https://m.alibaba.com/",1571184568.662,1571184569.291,0.628999948501587,"cache",11
"186","https://nylon.com",1571184649.247,1571184649.705,0.45799994468689,"cache",11
"188","https://www.zumata.com",1571184724.727,1571184725.502,0.775000095367432,"cache",11
"190","https://slate.com",1571184798.278,1571184798.894,0.615999937057495,"cache",11
"192","https://www.smashingmagazine.com",1571184868.764,1571184869.232,0.468000173568726,"cache",11
"194","https://edgy.app",1571184935.131,1571184935.286,0.154999971389771,"cache",11
"196","https://www.soundslice.com",1571185003.427,1571185003.529,0.101999998092651,"cache",11
"198","https://www.nrw-tourismus.de",1571185072.997,1571185078.238,5.2409999370575,"cache",11
"200","https://www.petlove.com.br",1571185220.336,1571185220.674,0.338000059127808,"cache",12
"202","https://m.alibaba.com/",1571185297.727,1571185298.29,0.562999963760376,"cache",12
"204","https://nylon.com",1571185376.92,1571185377.48,0.559999942779541,"cache",12
"206","https://www.zumata.com",1571185453.027,1571185453.575,0.54800009727478,"cache",12
"208","https://slate.com",1571185527.104,1571185527.779,0.674999952316284,"cache",12
"210","https://www.smashingmagazine.com",1571185600.067,1571185600.428,0.361000061035156,"cache",12
"212","https://edgy.app",1571185669.413,1571185669.596,0.182999849319458,"cache",12
"214","https://www.soundslice.com",1571185737.082,1571185737.23,0.148000001907349,"cache",12
"216","https://www.nrw-tourismus.de",1571185805.788,1571185806.226,0.437999963760376,"cache",12
"218","https://www.petlove.com.br",1571185953.071,1571185953.414,0.342999935150146,"cache",13
"220","https://m.alibaba.com/",1571186031.212,1571186031.891,0.67900013923645,"cache",13
"222","https://nylon.com",1571186111.284,1571186111.756,0.472000122070312,"cache",13
"224","https://www.zumata.com",1571186187.462,1571186188.222,0.759999990463257,"cache",13
"226","https://slate.com",1571186261.115,1571186262.087,0.971999883651733,"cache",13
"228","https://www.smashingmagazine.com",1571186333.946,1571186334.342,0.395999908447266,"cache",13
"230","https://edgy.app",1571186401.968,1571186402.136,0.167999982833862,"cache",13
"232","https://www.soundslice.com",1571186470.314,1571186470.419,0.105000019073486,"cache",13
"234","https://www.nrw-tourismus.de",1571186540.209,1571186540.709,0.5,"cache",13
"236","https://www.petlove.com.br",1571186687.966,1571186688.306,0.339999914169312,"cache",14
"238","https://m.alibaba.com/",1571186765.625,1571186766.215,0.589999914169312,"cache",14
