zumatawwwzumatacom1,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
zumatawwwzumatacom1,7.03296299977,7.033452,0.000489000231028,core 0 cpu_idle,7.44845151901e-06,1571177332.03,1571177332.03
zumatawwwzumatacom1,7.033452,7.033665,0.000212999992073,core 0 cpu_frequency,8.58379744053e-05,1571177332.03,1571177332.03
zumatawwwzumatacom1,7.033665,7.05456499988,0.0208999998868,core 0 cpu_idle,0.000318348798275,1571177332.03,1571177332.05
zumatawwwzumatacom1,7.05456499988,7.05461099977,4.59998846054e-05,core 0 cpu_frequency,1.85377326965e-05,1571177332.05,1571177332.05
zumatawwwzumatacom1,7.05461099977,7.07454599999,0.0199350002222,core 0 cpu_idle,0.000303649923384,1571177332.05,1571177332.07
zumatawwwzumatacom1,7.07454599999,7.07465199986,0.000105999875814,core 0 cpu_frequency,4.27174411535e-05,1571177332.07,1571177332.07
zumatawwwzumatacom1,7.07465199986,7.11122299964,0.0365709997714,core 0 cpu_idle,0.000557049468517,1571177332.07,1571177332.11
zumatawwwzumatacom1,7.11122299964,7.1116729998,0.000450000166893,core 0 cpu_frequency,0.000181347907257,1571177332.11,1571177332.11
zumatawwwzumatacom1,7.1116729998,7.13132199971,0.0196489999071,core 0 cpu_idle,0.000299293566585,1571177332.11,1571177332.13
zumatawwwzumatacom1,7.13132199971,7.13142299978,0.000101000070572,core 0 cpu_frequency,4.07025436401e-05,1571177332.13,1571177332.13
zumatawwwzumatacom1,7.13142299978,7.1513319998,0.0199090000242,core 0 cpu_idle,0.000303253888369,1571177332.13,1571177332.15
zumatawwwzumatacom1,7.1513319998,7.15253499988,0.00120300007984,core 0 cpu_frequency,0.000484803257775,1571177332.15,1571177332.15
zumatawwwzumatacom1,7.15253499988,7.17131699994,0.0187820000574,core 0 cpu_idle,0.000286087424874,1571177332.15,1571177332.17
zumatawwwzumatacom1,7.17131699994,7.17137999972,6.29997812212e-05,core 0 cpu_frequency,2.53886094332e-05,1571177332.17,1571177332.17
zumatawwwzumatacom1,7.17137999972,7.17374600004,0.00236600032076,core 0 cpu_idle,3.60389168859e-05,1571177332.17,1571177332.17
zumatawwwzumatacom1,7.17374600004,7.17375399964,7.99959525466e-06,core 0 cpu_frequency,3.22379848957e-06,1571177332.17,1571177332.17
zumatawwwzumatacom1,7.17375399964,7.19113999978,0.0173860001378,core 0 cpu_idle,0.000264823554099,1571177332.17,1571177332.19
