edgyedgyapp2,Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule),Timestamp Start,Timestamp End
edgyedgyapp2,8.47826600028,8.48449700046,0.00623100018129,core 0 cpu_frequency,0.0025329888077,1571181269.48,1571181269.48
edgyedgyapp2,8.48449700046,8.55054800026,0.0660509997979,core 0 cpu_idle,0.00101487361189,1571181269.48,1571181269.55
edgyedgyapp2,8.55054800026,8.55068700016,0.000138999894261,core 0 cpu_frequency,5.65054030158e-05,1571181269.55,1571181269.55
edgyedgyapp2,8.55068700016,8.55073500052,4.80003654957e-05,core 0 cpu_idle,7.37525615841e-07,1571181269.55,1571181269.55
edgyedgyapp2,8.55073500052,8.55074300012,7.99959525466e-06,core 0 cpu_frequency,3.25194746535e-06,1571181269.55,1571181269.55
edgyedgyapp2,8.55074300012,8.65176800033,0.101025000215,core 0 cpu_idle,0.0015522491283,1571181269.55,1571181269.65
edgyedgyapp2,8.65176800033,8.65194500051,0.000177000183612,core 0 cpu_frequency,7.19530526409e-05,1571181269.65,1571181269.65
edgyedgyapp2,8.65194500051,8.70303000044,0.0510849999264,core 0 cpu_frequency,0.0207667676601,1571181269.65,1571181269.7
edgyedgyapp2,8.70303000044,8.89491000026,0.191879999824,core 0 cpu_idle,0.00294823619729,1571181269.7,1571181269.89
edgyedgyapp2,8.89491000026,8.89518200047,0.000272000208497,core 0 cpu_frequency,0.000110571892757,1571181269.89,1571181269.9
edgyedgyapp2,8.89518200047,8.96009000018,0.0649079997092,core 0 cpu_idle,0.000997311415533,1571181269.9,1571181269.96
edgyedgyapp2,8.96009000018,8.96065400029,0.000564000103623,core 0 cpu_frequency,0.000229273938124,1571181269.96,1571181269.96
edgyedgyapp2,8.96065400029,9.23474300047,0.274089000188,core 0 cpu_idle,0.00421137748789,1571181269.96,1571181270.23
edgyedgyapp2,9.23474300047,9.23494500015,0.000201999675483,core 0 cpu_frequency,8.21156960791e-05,1571181270.23,1571181270.23
edgyedgyapp2,9.23494500015,9.26887300052,0.0339280003682,core 0 cpu_idle,0.000521303725657,1571181270.23,1571181270.27
edgyedgyapp2,9.26887300052,9.2689190004,4.59998846054e-05,core 0 cpu_frequency,1.86995970905e-05,1571181270.27,1571181270.27
edgyedgyapp2,9.2689190004,9.37430500053,0.105386000127,core 0 cpu_idle,0.00161925589195,1571181270.27,1571181270.37
edgyedgyapp2,9.37430500053,9.3746770001,0.000371999572963,core 0 cpu_frequency,0.000151223034403,1571181270.37,1571181270.37
edgyedgyapp2,9.3746770001,9.41416600021,0.0394890001044,core 0 cpu_idle,0.000606748486604,1571181270.37,1571181270.41
edgyedgyapp2,9.41416600021,9.41513800016,0.000971999950707,core 0 cpu_frequency,0.000395131587962,1571181270.41,1571181270.42
edgyedgyapp2,9.41513800016,9.42165300017,0.0065150000155,core 0 cpu_idle,0.000100102975238,1571181270.42,1571181270.42
edgyedgyapp2,9.42165300017,9.4628530005,0.0412000003271,core 0 cpu_frequency,0.016748376933,1571181270.42,1571181270.46
edgyedgyapp2,9.4628530005,9.46365800034,0.00080499984324,core 0 cpu_idle,1.23688225914e-05,1571181270.46,1571181270.46
edgyedgyapp2,9.46365800034,9.46625000052,0.00259200017899,core 0 cpu_frequency,0.00105368436076,1571181270.46,1571181270.47
edgyedgyapp2,9.46625000052,9.47810400045,0.0118539999239,core 0 cpu_idle,0.000182136708831,1571181270.47,1571181270.48
edgyedgyapp2,9.47810400045,9.52724500047,0.049141000025,core 0 cpu_frequency,0.0199765044842,1571181270.48,1571181270.53
edgyedgyapp2,9.52724500047,9.52764800051,0.000403000041842,core 0 cpu_idle,6.19209564291e-06,1571181270.53,1571181270.53
edgyedgyapp2,9.52764800051,9.52918800013,0.00153999961913,core 0 cpu_frequency,0.00062603140517,1571181270.53,1571181270.53
edgyedgyapp2,9.52918800013,9.67913500033,0.149947000202,core 0 cpu_idle,0.0023039356581,1571181270.53,1571181270.68
edgyedgyapp2,9.67913500033,9.70513700042,0.026002000086,core 0 cpu_frequency,0.010570177063,1571181270.68,1571181270.71
edgyedgyapp2,9.70513700042,9.7055630004,0.000425999984145,core 0 cpu_idle,6.54548975639e-06,1571181270.71,1571181270.71
edgyedgyapp2,9.7055630004,9.70625000028,0.000686999876052,core 0 cpu_frequency,0.000279275067613,1571181270.71,1571181270.71
edgyedgyapp2,9.70625000028,9.7287840005,0.0225340002216,core 0 cpu_idle,0.000346234913405,1571181270.71,1571181270.73
edgyedgyapp2,9.7287840005,9.78394700028,0.055162999779,core 0 cpu_frequency,0.0224245316922,1571181270.73,1571181270.78
edgyedgyapp2,9.78394700028,9.78431100026,0.000363999977708,core 0 cpu_idle,5.59285965748e-06,1571181270.78,1571181270.78
edgyedgyapp2,9.78431100026,9.78571200045,0.00140100019053,core 0 cpu_frequency,0.000569526191452,1571181270.78,1571181270.79
edgyedgyapp2,9.78571200045,9.83835000033,0.0526379998773,core 0 cpu_idle,0.000808782868115,1571181270.79,1571181270.84
edgyedgyapp2,9.83835000033,9.83945700014,0.00110699981451,core 0 cpu_frequency,0.000450010922596,1571181270.84,1571181270.84
edgyedgyapp2,9.83945700014,9.85807700036,0.0186200002208,core 0 cpu_idle,0.000286096303393,1571181270.84,1571181270.86
edgyedgyapp2,9.85807700036,9.8612230001,0.00314599974081,core 0 cpu_frequency,0.00127889293864,1571181270.86,1571181270.86
edgyedgyapp2,9.8612230001,9.8782060002,0.0169830000959,core 0 cpu_idle,0.000260943796474,1571181270.86,1571181270.88
edgyedgyapp2,9.8782060002,9.88142300025,0.00321700004861,core 0 cpu_frequency,0.00130775555776,1571181270.88,1571181270.88
edgyedgyapp2,9.88142300025,9.90761800017,0.0261949999258,core 0 cpu_idle,0.00040248617386,1571181270.88,1571181270.91
edgyedgyapp2,9.90761800017,9.90822800016,0.000609999988228,core 0 cpu_frequency,0.000247973535215,1571181270.91,1571181270.91
edgyedgyapp2,9.90822800016,10.1151270005,0.206899000332,core 0 cpu_idle,0.0031790031401,1571181270.91,1571181271.12
edgyedgyapp2,10.1151270005,10.1184750004,0.00334799988195,core 0 cpu_frequency,0.00136100882401,1571181271.12,1571181271.12
edgyedgyapp2,10.1184750004,10.1186350002,0.000159999821335,core 0 cpu_frequency,6.50421673702e-05,1571181271.12,1571181271.12
edgyedgyapp2,10.1186350002,10.1381610003,0.0195260001346,core 0 cpu_idle,0.000300016992069,1571181271.12,1571181271.14
edgyedgyapp2,10.1381610003,10.1383020002,0.00014099990949,core 0 cpu_frequency,5.73184372066e-05,1571181271.14,1571181271.14
edgyedgyapp2,10.1383020002,10.1714540003,0.0331520000473,core 0 cpu_idle,0.000509380480726,1571181271.14,1571181271.17
edgyedgyapp2,10.1714540003,10.1715660002,0.000111999921501,core 0 cpu_frequency,4.55295360889e-05,1571181271.17,1571181271.17
edgyedgyapp2,10.1715660002,10.2391610001,0.0675949999131,core 0 cpu_idle,0.00103859717367,1571181271.17,1571181271.24
edgyedgyapp2,10.2391610001,10.2406930001,0.00153200002387,core 0 cpu_frequency,0.000622779457704,1571181271.24,1571181271.24
edgyedgyapp2,10.2406930001,10.2582890005,0.0175960003398,core 0 cpu_idle,0.000270362545222,1571181271.24,1571181271.26
edgyedgyapp2,10.2582890005,10.2584640002,0.000174999702722,core 0 cpu_frequency,7.11398291523e-05,1571181271.26,1571181271.26
edgyedgyapp2,10.2584640002,10.2784440005,0.019980000332,core 0 cpu_idle,0.000306992705101,1571181271.26,1571181271.28
edgyedgyapp2,10.2784440005,10.2786000003,0.000155999790877,core 0 cpu_frequency,6.34160989886e-05,1571181271.28,1571181271.28
edgyedgyapp2,10.2786000003,10.3006410003,0.0220409999602,core 0 cpu_idle,0.000338659964388,1571181271.28,1571181271.3
edgyedgyapp2,10.3006410003,10.3355880002,0.0349469999783,core 0 cpu_frequency,0.0142064447492,1571181271.3,1571181271.34
edgyedgyapp2,10.3355880002,10.4183500004,0.082762000151,core 0 cpu_idle,0.00127163813232,1571181271.34,1571181271.42
edgyedgyapp2,10.4183500004,10.4383350005,0.0199850001372,core 0 cpu_frequency,0.00812418234579,1571181271.42,1571181271.44
edgyedgyapp2,10.4383350005,10.4479820002,0.0096469996497,core 0 cpu_frequency,0.0039216404156,1571181271.44,1571181271.45
